Transaction ID,Original Trx ID,Service Source,User Account,Amount,IP Address,City,Country,Risk Score,Anomaly Score,Risk Level,Is Flagged ML,Violation Reason,Final Status,Transaction Time
511,194720795827,AGENUSA,card_night_322073,"Rp 55,000,000.00",36.90.120.15,-,-,100.0,0.004175,CRITICAL,NO,RULE:Agenusa High Amount > 15M | PATTERN:Manual High Amount | PATTERN:Auto High Amount AGENUSA (5000000+) | PATTERN:BURST_AMOUNT,FRAUD,2026-06-11 04:00:00
426,187423159880,AGENUSA,card_night_252203,"Rp 55,000,000.00",180.250.50.60,-,-,100.0,0.004175,CRITICAL,NO,RULE:Agenusa High Amount > 15M | PATTERN:Manual High Amount | PATTERN:Auto High Amount AGENUSA (5000000+) | PATTERN:BURST_AMOUNT,FRAUD,2026-06-11 04:00:00
510,364638594446,AGENUSA,card_night_322073,"Rp 149,988.95",114.10.20.30,-,-,0.0,0.028706,SAFE,NO,-,SAFE,2026-06-10 15:00:00
425,021090465265,AGENUSA,card_night_252203,"Rp 50,512.98",114.10.20.30,-,-,0.0,0.019996,SAFE,NO,-,SAFE,2026-06-10 15:00:00
509,831152610056,AGENUSA,card_night_322073,"Rp 142,149.35",180.250.50.60,-,-,0.0,0.019435,SAFE,NO,-,SAFE,2026-06-10 13:00:00
424,057389231543,AGENUSA,card_night_252203,"Rp 128,714.08",114.10.20.30,-,-,0.0,0.019952,SAFE,NO,-,SAFE,2026-06-10 13:00:00
508,315028571180,AGENUSA,card_night_322073,"Rp 119,333.24",36.90.120.15,-,-,0.0,0.02003,SAFE,NO,-,SAFE,2026-06-10 11:00:00
423,442867151576,AGENUSA,card_night_252203,"Rp 51,749.37",114.10.20.30,-,-,0.0,0.02003,SAFE,NO,-,SAFE,2026-06-10 11:00:00
507,095037351876,AGENUSA,card_jump_587519,"Rp 984,448.69",36.90.120.15,-,-,0.0,0.023423,SAFE,NO,-,SAFE,2026-06-10 09:42:35
506,587338867427,AGENUSA,card_velo_673954,"Rp 160,439.01",180.250.50.60,-,-,60.0,0.024019,HIGH,NO,PATTERN:BURST_AMOUNT | PATTERN:HIGH_FREQUENCY,UNDER_REVIEW,2026-06-10 09:42:30
505,279172447866,AGENUSA,card_velo_673954,"Rp 448,219.44",114.10.20.30,-,-,60.0,0.023585,HIGH,NO,PATTERN:BURST_AMOUNT | PATTERN:HIGH_FREQUENCY,UNDER_REVIEW,2026-06-10 09:42:05
504,886553411740,AGENUSA,card_velo_673954,"Rp 466,298.16",36.90.120.15,-,-,60.0,0.023585,HIGH,NO,PATTERN:BURST_AMOUNT | PATTERN:HIGH_FREQUENCY,UNDER_REVIEW,2026-06-10 09:41:40
503,441074343185,AGENUSA,card_super_301842,"Rp 1,184,934.08",114.10.20.30,-,-,60.0,0.017665,HIGH,NO,PATTERN:BURST_AMOUNT | PATTERN:HIGH_FREQUENCY,UNDER_REVIEW,2026-06-10 09:41:35
502,885318802806,AGENUSA,card_dcln_856301,"Rp 103,202.93",114.10.20.30,-,-,100.0,0.007869,CRITICAL,NO,PATTERN:Manual EDC Night Brute Force | PATTERN:Decline Velocity | PATTERN:BURST_AMOUNT | PATTERN:HIGH_FREQUENCY,FRAUD,2026-06-10 09:41:35
501,036446338302,AGENUSA,cust591615,"Rp 662,704.78",114.10.20.30,-,-,0.0,0.028557,SAFE,NO,-,SAFE,2026-06-10 09:41:25
500,729613154449,AGENUSA,card_chain_015468,"Rp 3,607,780.26",180.250.50.60,-,-,88.0,0.024521,CRITICAL,NO,RULE:Very High Amount | PATTERN:BURST_AMOUNT | PATTERN:HIGH_FREQUENCY,UNDER_REVIEW,2026-06-10 09:41:20
499,647087877299,AGENUSA,card_super_301842,"Rp 2,458,315.62",36.90.120.15,-,-,88.0,0.016698,CRITICAL,NO,RULE:Very High Amount | PATTERN:BURST_AMOUNT | PATTERN:HIGH_FREQUENCY,UNDER_REVIEW,2026-06-10 09:41:20
498,171040670623,AGENUSA,card_velo_673954,"Rp 204,376.94",114.10.20.30,-,-,60.0,0.024117,HIGH,NO,PATTERN:BURST_AMOUNT | PATTERN:HIGH_FREQUENCY,UNDER_REVIEW,2026-06-10 09:41:15
497,701872671225,AGENUSA,cust254359,"Rp 921,740.87",114.10.20.30,-,-,0.0,0.027112,SAFE,NO,-,SAFE,2026-06-10 09:41:15
